Date,Price,Open,High,Low,Vol.Change %,True Range,Max_Range,Min_Range,Simple Moving Average ,Del C,Output(3 Days)
21-05-2018,1.3431,1.3473,1.3485,1.3392,-0.32%,0.0159999999999998,1.3631,1.3452,1.62478,0.0106999999999999,1.3381
22-05-2018,1.3436,1.3431,1.3493,1.3412,0.04%,0.0159999999999998,1.3618,1.3452,1.62371,0.0145999999999979,1.3309
23-05-2018,1.3349,1.3437,1.3444,1.3305,-0.65%,0.0159999999999998,1.3618,1.3452,1.62225,0.0099000000000018,1.3314
24-05-2018,1.3381,1.3346,1.3423,1.3339,0.24%,0.0159999999999998,1.3618,1.3452,1.62126,0.021099999999997,1.3254
25-05-2018,1.3309,1.338,1.3393,1.3294,-0.54%,0.0159999999999998,1.3618,1.3392,1.61915,0.0166000000000004,1.3292
28-05-2018,1.3314,1.3308,1.3342,1.3296,0.04%,0.0159999999999998,1.3618,1.3392,1.61749,0.0236000000000018,1.33
29-05-2018,1.3254,1.3312,1.3328,1.3205,-0.45%,0.0139,1.361,1.3305,1.61513,0.0208000000000013,1.3348
30-05-2018,1.3292,1.3251,1.331,1.3242,0.29%,0.0139,1.361,1.3305,1.61305,0.0295999999999985,1.3313
31-05-2018,1.33,1.329,1.335,1.3277,0.06%,0.0139,1.3575,1.3294,1.61009,0.0267999999999979,1.3397
01-06-2018,1.3348,1.3299,1.3363,1.3252,0.36%,0.0139,1.3571,1.3294,1.60741,0.0207000000000015,1.3413
04-06-2018,1.3313,1.3337,1.34,1.3294,-0.26%,0.0139,1.3571,1.3205,1.60534,0.0152000000000001,1.3422
05-06-2018,1.3397,1.3314,1.3412,1.3302,0.63%,0.0139,1.3531,1.3205,1.60382,0.0203999999999986,1.3412
06-06-2018,1.3413,1.3396,1.3445,1.3383,0.12%,0.0139,1.3493,1.3205,1.60178,0.00769999999999982,1.3375
07-06-2018,1.3422,1.3413,1.3474,1.3374,0.07%,0.0139,1.3493,1.3205,1.60101,0.00180000000000291,1.3372
08-06-2018,1.3412,1.3421,1.3439,1.3354,-0.07%,0.0139,1.3474,1.3205,1.60083,0.00159999999999982,1.3376
11-06-2018,1.3375,1.3404,1.3443,1.3345,-0.28%,0.0123,1.3474,1.3205,1.60067,-0.00580000000000069,1.3262
12-06-2018,1.3372,1.3382,1.3426,1.3342,-0.02%,0.0123,1.3474,1.3205,1.60125,-0.000199999999999534,1.3285
13-06-2018,1.3376,1.3373,1.3392,1.3308,0.03%,0.0123,1.3474,1.3205,1.60127,-0.00650000000000262,1.3244
